,UK,LDN,U/L ratio
Jan 2004-Dec 2004,4.8,7.2,0.6666666666666666
Jan 2005-Dec 2005,4.9,7.2,0.6805555555555556
Jan 2006-Dec 2006,5.4,7.7,0.7012987012987013
Jan 2007-Dec 2007,5.2,6.9,0.7536231884057971
Jan 2008-Dec 2008,5.7,7.0,0.8142857142857143
Jan 2009-Dec 2009,7.6,9.2,0.8260869565217391
Jan 2010-Dec 2010,7.6,8.9,0.8539325842696629
Jan 2011-Dec 2011,8.0,9.5,0.8421052631578947
Jan 2012-Dec 2012,7.9,9.2,0.8586956521739132
Jan 2013-Dec 2013,7.5,8.7,0.8620689655172414
Jan 2014-Dec 2014,6.2,7.0,0.8857142857142858
Jan 2015-Dec 2015,5.3,6.1,0.8688524590163935
Jan 2016-Dec 2016,4.9,5.6,0.8750000000000001
Jan 2017-Dec 2017,4.4,5.3,0.8301886792452832
Jan 2018-Dec 2018,4.2,5.0,0.8400000000000001
Jan 2019-Dec 2019,3.9,4.6,0.8478260869565218
Jan 2020-Dec 2020,4.6,6.0,0.7666666666666666
Jan 2021-Dec 2021,4.4,5.6,0.7857142857142858
Jan 2022-Dec 2022,3.5,4.4,0.7954545454545454
Jan 2023-Dec 2023,3.7,5.0,0.74
